quinto,クイント
﻿Uruguay round,ウルグアイラウンド
﻿ultra,ウルトラ
﻿ultranationalism,ウルトラナショナリズム
﻿ultramarine,ウルトラマリン
﻿ultramodern,ウルトラモダン
﻿Urethane foam,ウレタンフォーム
﻿agent,エージェント
﻿age shooter,エージシューター
﻿agism,エージズム
﻿aging,エージング
﻿ether,エーテル
﻿April fool,エイプリルフール
﻿Air France,エールフランス
﻿air,エア
﻿airway,エアウェー
﻿air cargo,エアカーゴ
﻿air curtain,エアカーテン
﻿air gun,エアガン
﻿air cushion,エアクッション
﻿air cleaner,エアクリーナー
﻿air conditioner,エアコンディショナー
﻿air compressor,エアコンプレッサー
﻿air service,エアサービス
﻿air sick,エアシック
﻿airsickness,エアシックネス
﻿airsick bag,エアシックバッグ
﻿air shuttle,エアシャトル
﻿air shoot,エアシュート
﻿aerosol,エアゾール
﻿air terminal,エアターミナル
﻿Edam cheese,エアダムチーズ
﻿air check,エアチェック
﻿air dome,エアドーム
﻿air door,エアドア
﻿airbus,エアバス
﻿air bag,エアバッグ
﻿air pad,エアパッド
﻿air people,エアピープル
﻿air force,エアフォース
﻿airbrush,エアブラシ
﻿air breathing engine,エアブリージングエンジン
﻿air hostess,エアホステス
﻿airborne,エアボーン
﻿airport,エアポート
﻿airport tax,エアポートタックス
﻿air pocket,エアポケット
﻿air pot,エアポット
﻿air pump,エアポンプ
﻿air right,エアライト
﻿airline,エアライン
﻿aerogram,エアログラム
﻿aerodynamics,エアロダイナミックス
﻿aerobics,エアロビクス
﻿aerobicising,エアロビサイズ
﻿aerobic dancing,エアロビックダンシング
﻿AIDS virus,エイズウイルス
﻿eight,エイト
﻿eight beat,エイトビート
﻿alias,エイリアス
﻿alien,エイリアン
﻿eonism,エオニズム
﻿exciting,エキサイティング
﻿exciting game,エキサイティングゲーム
﻿excite,エキサイト
﻿exercise,エキササイズ
﻿exercise walking,エキササイズウォーキング
﻿exhibition,エキジビション
﻿extra,エキストラ
﻿extra inning,エキストライニング
﻿expert,エキスパート
﻿expert system,エキスパートシステム
﻿expander,エキスパンダー
﻿expression,エキスプレッション
﻿expo,エキスポ
﻿eccentric,エキセントリック
﻿ecumenism,エキュメニズム
﻿Ecuador,エクアドル
﻿equitable,エクイタブル
﻿exercise,エクササイズ
﻿excursion,エクスカーション
﻿excursion ticket,エクスカーションチケット
﻿excursion fare,エクスカーションフェア
﻿excuse me,エクスキューズミー
﻿external,エクスターナル
﻿ecstasy,エクスタシー
﻿exchange,エクスチェンジ
﻿exchange order,エクスチェンジオーダー
﻿exterior,エクステリア
﻿extension,エクステンション
﻿extent,エクステント
﻿expire,エクスパイア
﻿express,エクスプレス
﻿expressway,エクスプレスウエー
﻿expression,エクスプレッション
﻿explosion,エクスプロージョン
﻿explosion shot,エクスプロージョンショット
﻿explorer,エクスプローラ
﻿expedition,エクスペディション
﻿expensive,エクスペンシブ
﻿expense,エクスペンス
﻿export,エクスポート
﻿Excelan,エクセラン
﻿excellent,エクセレント
﻿eccentric,エクセントリック
﻿exorcist,エクソシスト
﻿ecumenism,エクメーネ
﻿existence,エグジスタンス
﻿executive class,エグセクティブクラス
﻿executive,エグゼクティブ
﻿echo,エコー
﻿echo back,エコーバック
﻿Ecole de Paris,エコールドパリ
﻿ecocide,エコサイド
﻿ecosystem,エコシステム
﻿economy,エコノミー
﻿economy class,エコノミークラス
﻿economical,エコノミカル
﻿economist,エコノミスト
﻿economic animal,エコノミックアニマル
﻿economics,エコノミックス
﻿econometrics,エコノメトリックス
﻿ecology,エコロジー
﻿ego,エゴ
﻿egotistic,エゴイスティック
﻿egotist,エゴイスト
﻿egoism,エゴイズム
﻿Esaki diode,エサキダイオード
﻿shallot,エシャロット
﻿escalation,エスカレーション
﻿escalator,エスカレーター
﻿escalate,エスカレート
﻿escalope,エスカロープ
﻿Eskimo,エスキモー
﻿esquire,エスクワイア
﻿escape,エスケープ
﻿escort,エスコート
﻿escort girl,エスコートガール
﻿S size,エスサイズ
﻿establishment,エスタブリッシュメント
﻿estate,エステート
﻿esthetician,エステティシャン
﻿esthetic,エステティック
﻿esterase,エステラーゼ
﻿ester,エステル
﻿Estonia,エストニア
﻿estrogen,エストロゲン
﻿estrone,エストロン
﻿ethnicism,エスニシズム
﻿ethnicity,エスニシティ
﻿ethnic,エスニック
﻿ethnic group,エスニックグループ
﻿ethnic food,エスニックフード
﻿ethnic fashion,エスニックファッション
﻿ethnic look,エスニックルック
﻿ethno,エスノ
﻿ethnology,エスノロジー
﻿ESPer,エスパー
﻿esprit,エスプリ
﻿esprit nouveau,エスプリヌーボー
﻿Esperanto,エスペラント
﻿ethology,エソロジー
﻿eternal,エターナル
﻿eternity,エターニティー
﻿ethanol,エタノール
﻿etiquette,エチケット
﻿ethylene,エチレン
﻿eggnog,エッグノッグ
﻿edging,エッジング
﻿essay,エッセイ
﻿essayist,エッセイスト
﻿essential,エッセンシャル
﻿essence,エッセンス
﻿etching,エッチング
﻿edition,エディション
﻿editor,エディター
﻿edit,エディット
﻿editing,エディティング
﻿edit,エディト
﻿editorial,エディトリアル
﻿editorial design,エディトリアルデザイン
﻿Oedipus complex,エディプスコンプレックス
﻿Edinburgh,エディンバラ
﻿education,エデュケーション
﻿Eden,エデン
﻿ethos,エトス
﻿et cetera,エトセトラ
﻿stranger,エトランゼ
﻿energy,エナジー
﻿enamel,エナメル
﻿enamel paint,エナメルペイント
﻿enigma,エニグマ
﻿energy,エネ
﻿enable,エネーブル
﻿enemy,エネミー
﻿energy,エネルギー
﻿energetic,エネルギッシュ
﻿ever,エバー
﻿ever onward,エバーオンワード
﻿evergreen,エバーグリーン
﻿Everglaze,エバーグレーズ
﻿Everpleats,エバープリーツ
﻿Everwhite,エバーホワイト
﻿evaporated milk,エバポレーテッドミルク
﻿evaluation,エバリュエーション
﻿evaluator,エバリュエータ
﻿evangelist,エバンジェリスト
﻿epicurean,エピキュリアン
﻿epigraph,エピグラフ
﻿epigram,エピグラム
﻿epigone,エピゴーネン
﻿episteme,エピステーメー
﻿episode,エピソード
﻿epitaxy,エピタキシー
﻿epitaph,エピタフ
﻿epic,エピック
﻿epilogue,エピローグ
﻿effector,エフェクター
﻿effects,エフェクツ
﻿effective,エフェクティブ
﻿effect,エフェクト
﻿ephedrine,エフェドリン
﻿apron,エプロン
﻿apron stage,エプロンステージ
﻿epee,エペ
﻿Jehovah,エホバ
﻿ebonite,エボナイト
﻿epoxy,エポキシ
﻿epoch,エポック
﻿epaulette,エポレット
﻿emergency,エマージェンシー
﻿emergency landing,エマージェンシーランディング
﻿emigrant,エミグラント
﻿emigration,エミグレーション
﻿eminent,エミネント
﻿emulator,エミュレータ
﻿emulate,エミュレート
﻿M size,エムサイズ
﻿emulsion,エムルション
﻿emerald,エメラルド
﻿emerald green,エメラルドグリーン
﻿emery board,エメリーボード
﻿emotionalism,エモーショナリスム
﻿emotion,エモーション
﻿emollient,エモリアント
﻿ejaculation,エヤクラチオン
﻿error,エラー
﻿error message,エラーメッセージ
﻿elastic,エラスティック
﻿elite,エリート
﻿area,エリア
﻿area marketing,エリアマーケティング
﻿elixir,エリキシル
﻿Elysium,エリシウム
﻿erythropoietin,エリスロポエチン
﻿erythromycin,エリスロマイシン
﻿ergonomics,エルゴノミックス
﻿L size,エルサイズ
﻿El Salvador,エルサルバドル
﻿El Dorado,エルドラド
﻿LP record,エルピーレコード
﻿elbow,エルボー
﻿Herman,エルマン
﻿elegance,エレガンス
﻿elegant,エレガント
﻿electric guitar,エレキギター
﻿electricity,エレキテル
﻿erection,エレクション
﻿erect,エレクト
﻿Electone,エレクトーン
﻿Electra complex,エレクトラコンプレックス
﻿electric,エレクトリック
﻿electronic office,エレクトロオフィス
﻿electronic cottage,エレクトロコテージ
﻿electronics,エレクトロニクス
﻿electronic,エレクトロニック
﻿electronic office,エレクトロニックオフィス
﻿electronic cottage,エレクトロニックコテージ
﻿electronic sound,エレクトロニックサウンド
﻿electronic banking,エレクトロニックバンキング
﻿electronic file,エレクトロニックファイル
﻿electronic money,エレクトロニックマネー
﻿electronic music,エレクトロニックミュージック
﻿electronic mail,エレクトロニックメール
﻿electronic banking,エレクトロバンキング
﻿electroluminescence,エレクトロルミネセンス
﻿electron,エレクトロン
﻿elevation,エレベ
﻿elevation,エレベーション
﻿elevator,エレベーター
﻿elementary,エレメンタリー
﻿erotic,エロ
﻿elocution,エロキューション
﻿erogenous zone,エロジナスゾーン
﻿Eros,エロス
﻿erotic production,エロダクション
﻿erotica,エロチカ
﻿eroticism,エロチシズム
﻿erotism,エロチズム
﻿erotic,エロチック
﻿erotomania,エロトマニア
﻿encounter,エンカウンター
﻿encapsulation,エンカプセレーション
﻿enclosure,エンクロージャー
﻿engage,エンゲージ
﻿engagement,エンゲージメント
﻿engagement ring,エンゲージリング
﻿encoder,エンコーダ
﻿encoding,エンコーディング
﻿encode,エンコード
﻿encyclopedia,エンサイクロペディア
﻿engineer,エンジニア
﻿engineering,エンジニアリング
﻿engineering plastics,エンジニアリングプラスチック
﻿enjoy,エンジョイ
﻿engine,エンジン
﻿ignition key,エンジンキー
﻿engine brake,エンジンブレーキ
﻿angelfish,エンゼルフィシュ
﻿angel baby,エンゼルベビー
﻿enter,エンター
﻿entertainer,エンターテイナー
﻿entertainment,エンターテインメント
﻿enterprise,エンタープライズ
﻿entitled,エンタイトル
﻿entasis,エンタシス
﻿endive,エンダイブ
﻿entity,エンティティ
﻿ending,エンディング
